steps,success_rate,ep_reward,ep_length,actor_loss,critic_loss
317589,0.0,-0.5138022729328701,150.0,-7.591307256789435,0.04058411505472447
318639,0.5,-0.5289403242724282,150.0,-7.600188467389061,0.048329628642116276
319689,0.1,-0.5066394124712262,150.0,-7.583177156902495,0.044536413558359654
320739,0.3,-0.5227155131953103,150.0,-7.567155917485556,0.04349456910310047
321789,0.0,-0.5019131558282035,150.0,-7.502209196544828,0.03988507766808782
322839,0.4,-0.5063523139272418,150.0,-7.542434178306943,0.04231404798726241
323889,0.2,-0.5032550990581512,150.0,-7.539829377673921,0.04384784992340775
324939,0.1,-0.5152326396533421,150.0,-7.5109165604909265,0.044661190613572085
325989,0.2,-0.5293754381792886,150.0,-7.51139902659825,0.03958372701757721
327039,0.5,-0.5025208805288587,150.0,-7.518796319053287,0.0435967720171348
328089,0.0,-0.4994105909551893,150.0,-7.436614011582874,0.03507644274804209
329139,0.1,-0.506697131054742,150.0,-7.443968930471511,0.03930680493247651
330189,0.0,-0.5103730942521777,150.0,-7.4612983930678585,0.04143063743066575
331239,0.1,-0.5231497841221946,150.0,-7.428434693018596,0.03779916596066739
332289,0.0,-0.5152402222156525,150.0,-7.418803777694703,0.03624849756869177
333339,0.2,-0.5124666520527431,150.0,-7.3738344955444335,0.03728088524680407
334389,0.0,-0.5266565041882652,150.0,-7.443950134458995,0.03236158237349065
335439,0.0,-0.5082005645547595,150.0,-7.417573628652663,0.03223997788148976
336489,0.4,-0.5324292480945587,150.0,-7.380502531869071,0.034691185919745335
337539,0.1,-0.5138314962387085,150.0,-7.368026120776221,0.029505587744837004
338589,0.3,-0.5045186749526432,150.0,-7.3956087289537695,0.03459185649818253
339639,0.1,-0.5036408262593406,150.0,-7.335610820679436,0.03744036373815367
340689,0.4,-0.5278279866491046,150.0,-7.353257556188675,0.03141276713283289
341739,0.3,-0.5186337573187692,150.0,-7.372704623994374,0.03405274662543975
342789,0.2,-0.5061038051332746,150.0,-7.305504644484747,0.02900081969088032
343839,0.0,-0.5110687400613513,150.0,-7.30065607888358,0.03091337277110489
344889,0.0,-0.5249188414641789,150.0,-7.222144945689609,0.029498963453141704
345939,0.3,-0.5033654996326992,150.0,-7.248796612875802,0.028514312519913626
346989,0.0,-0.5105590905461993,150.0,-7.286392879486085,0.027416367151641422
348039,0.2,-0.5157608730452401,150.0,-7.3183875701540995,0.027546864056604958
349089,0.3,-0.5259258917399815,150.0,-7.259142694019135,0.02755127232122634
350139,0.1,-0.5043517606598991,150.0,-7.236358297438848,0.026393211880432706
351189,0.0,-0.5081594416073391,150.0,-7.267710038593839,0.02510354346617879
352239,0.0,-0.5268795703138623,150.0,-7.267062438783191,0.027521191924987806
353289,0.2,-0.5284225472382137,150.0,-7.252952416283743,0.026718130867839567
354339,0.0,-0.515369325876236,150.0,-7.253249511264619,0.023349912987711528
355389,0.1,-0.5169572617326464,150.0,-7.217926225208101,0.025550757738805958
356439,0.7,-0.5066642378057752,150.0,-7.212437749136062,0.02405132361111187
357489,0.4,-0.49799807582582745,150.0,-7.1983349309648785,0.024008781667577018
